Genre,imdbID,Language,Title,Released
Documentary,tt0054205,en,Primary,1960-01-01
Adventure,tt0190590,en,"O Brother, Where Art Thou?",2000-08-30
Comedy,tt0190590,en,"O Brother, Where Art Thou?",2000-08-30
Crime,tt0190590,en,"O Brother, Where Art Thou?",2000-08-30
Documentary,tt0061589,en,Bob Dylan - Dont Look Back,1967-05-17
Music,tt0061589,en,Bob Dylan - Dont Look Back,1967-05-17
Drama,tt0022913,en,Freaks,1932-02-12
Horror,tt0022913,en,Freaks,1932-02-12
Romance,tt0107048,en,Groundhog Day,1993-02-11
Fantasy,tt0107048,en,Groundhog Day,1993-02-11
Drama,tt0107048,en,Groundhog Day,1993-02-11
Comedy,tt0107048,en,Groundhog Day,1993-02-11
Horror,tt0021814,en,Dracula,1931-02-12
Drama,tt0021814,en,Dracula,1931-02-12
Fantasy,tt0021814,en,Dracula,1931-02-12
Drama,tt0164756,da,Mifunes sidste sang,1999-03-12
Comedy,tt0164756,da,Mifunes sidste sang,1999-03-12
Romance,tt0164756,da,Mifunes sidste sang,1999-03-12
Drama,tt0275491,es,La mala educación,2004-03-19
Fantasy,tt0246578,en,Donnie Darko,2001-10-24
Drama,tt0246578,en,Donnie Darko,2001-10-24
Mystery,tt0246578,en,Donnie Darko,2001-10-24
Drama,tt0388795,en,Brokeback Mountain,2005-09-10
Romance,tt0388795,en,Brokeback Mountain,2005-09-10
Drama,tt0020629,en,All Quiet on the Western Front,1930-04-29
War,tt0020629,en,All Quiet on the Western Front,1930-04-29
Drama,tt0093191,de,Der Himmel über Berlin,1987-05-17
Fantasy,tt0093191,de,Der Himmel über Berlin,1987-05-17
Romance,tt0093191,de,Der Himmel über Berlin,1987-05-17
Drama,tt0115751,da,Breaking the Waves,1996-05-13
Romance,tt0115751,da,Breaking the Waves,1996-05-13
Adventure,tt0190332,zh,卧虎藏龍,2000-07-06
Drama,tt0190332,zh,卧虎藏龍,2000-07-06
Action,tt0190332,zh,卧虎藏龍,2000-07-06
Romance,tt0190332,zh,卧虎藏龍,2000-07-06
Drama,tt0053198,fr,Les Quatre Cents Coups,1959-06-03
Romance,tt0430576,en,The Secret Life of Words,2005-12-15
Drama,tt0430576,en,The Secret Life of Words,2005-12-15
Animation,tt0094625,ja,AKIRA,1988-07-16
Science Fiction,tt0094625,ja,AKIRA,1988-07-16
Action,tt0094625,ja,AKIRA,1988-07-16
Thriller,tt0083511,en,48 Hrs.,1982-12-07
Action,tt0083511,en,48 Hrs.,1982-12-07
Comedy,tt0083511,en,48 Hrs.,1982-12-07
Crime,tt0083511,en,48 Hrs.,1982-12-07
Drama,tt0083511,en,48 Hrs.,1982-12-07
Science Fiction,tt0079945,en,Star Trek: The Motion Picture,1979-12-07
Adventure,tt0079945,en,Star Trek: The Motion Picture,1979-12-07
Mystery,tt0079945,en,Star Trek: The Motion Picture,1979-12-07
Drama,tt0335266,en,Lost in Translation,2003-09-18
Romance,tt0335266,en,Lost in Translation,2003-09-18
Comedy,tt0335266,en,Lost in Translation,2003-09-18
Action,tt0084726,en,Star Trek II: The Wrath of Khan,1982-06-04
Adventure,tt0084726,en,Star Trek II: The Wrath of Khan,1982-06-04
Science Fiction,tt0084726,en,Star Trek II: The Wrath of Khan,1982-06-04
Thriller,tt0084726,en,Star Trek II: The Wrath of Khan,1982-06-04
Drama,tt0468569,en,The Dark Knight,2008-07-14
Action,tt0468569,en,The Dark Knight,2008-07-14
Crime,tt0468569,en,The Dark Knight,2008-07-14
Thriller,tt0468569,en,The Dark Knight,2008-07-14
Comedy,tt0329767,da,Wilbur begår selvmord,2002-11-08
Drama,tt0329767,da,Wilbur begår selvmord,2002-11-08
Romance,tt0329767,da,Wilbur begår selvmord,2002-11-08
Science Fiction,tt0088170,en,Star Trek III: The Search for Spock,1984-06-01
Action,tt0088170,en,Star Trek III: The Search for Spock,1984-06-01
Adventure,tt0088170,en,Star Trek III: The Search for Spock,1984-06-01
Thriller,tt0088170,en,Star Trek III: The Search for Spock,1984-06-01
Comedy,tt0119472,de,Knockin' on Heaven's Door,1997-02-20
Crime,tt0119472,de,Knockin' on Heaven's Door,1997-02-20
Comedy,tt0109255,de,Der bewegte Mann,1994-10-05
Drama,tt0109255,de,Der bewegte Mann,1994-10-05
Documentary,tt0000012,fr,L'arrivée d'un train à La Ciotat,1897-10-10
Thriller,tt0240772,en,Ocean's Eleven,2001-12-07
Crime,tt0240772,en,Ocean's Eleven,2001-12-07
Fantasy,tt0099487,en,Edward Scissorhands,1990-12-05
Drama,tt0099487,en,Edward Scissorhands,1990-12-05
Romance,tt0099487,en,Edward Scissorhands,1990-12-05
Thriller,tt0349903,en,Ocean's Twelve,2004-12-09
Crime,tt0349903,en,Ocean's Twelve,2004-12-09
Comedy,tt0054698,en,Breakfast at Tiffany's,1961-10-06
Romance,tt0054698,en,Breakfast at Tiffany's,1961-10-06
Adventure,tt0096874,en,Back to the Future Part II,1989-11-22
Comedy,tt0096874,en,Back to the Future Part II,1989-11-22
Science Fiction,tt0096874,en,Back to the Future Part II,1989-11-22
Drama,tt0082100,fr,La Boum,1980-12-17
Romance,tt0082100,fr,La Boum,1980-12-17
Comedy,tt0082100,fr,La Boum,1980-12-17
Science Fiction,tt0272152,en,K-PAX,2001-10-22
Drama,tt0272152,en,K-PAX,2001-10-22
Mystery,tt0272152,en,K-PAX,2001-10-22
Science Fiction,tt0092007,en,Star Trek IV: The Voyage Home,1986-11-26
Adventure,tt0092007,en,Star Trek IV: The Voyage Home,1986-11-26
Science Fiction,tt0100403,en,Predator 2,1990-11-20
Action,tt0100403,en,Predator 2,1990-11-20
Thriller,tt0100403,en,Predator 2,1990-11-20
Horror,tt0289043,en,28 Days Later,2002-10-31
Thriller,tt0289043,en,28 Days Later,2002-10-31
Science Fiction,tt0289043,en,28 Days Later,2002-10-31
Comedy,tt0083686,fr,La Boum 2,1982-12-08
Romance,tt0083686,fr,La Boum 2,1982-12-08
Drama,tt0083686,fr,La Boum 2,1982-12-08
Science Fiction,tt0098382,en,Star Trek V: The Final Frontier,1989-06-09
Action,tt0098382,en,Star Trek V: The Final Frontier,1989-06-09
Adventure,tt0098382,en,Star Trek V: The Final Frontier,1989-06-09
Thriller,tt0098382,en,Star Trek V: The Final Frontier,1989-06-09
Adventure,tt0046672,en,"20,000 Leagues Under the Sea",1954-12-23
Drama,tt0046672,en,"20,000 Leagues Under the Sea",1954-12-23
Family,tt0046672,en,"20,000 Leagues Under the Sea",1954-12-23
Fantasy,tt0046672,en,"20,000 Leagues Under the Sea",1954-12-23
Science Fiction,tt0046672,en,"20,000 Leagues Under the Sea",1954-12-23
Action,tt0046672,en,"20,000 Leagues Under the Sea",1954-12-23
Science Fiction,tt0102975,en,Star Trek VI: The Undiscovered Country,1991-12-06
Action,tt0102975,en,Star Trek VI: The Undiscovered Country,1991-12-06
Adventure,tt0102975,en,Star Trek VI: The Undiscovered Country,1991-12-06
Thriller,tt0102975,en,Star Trek VI: The Undiscovered Country,1991-12-06
Adventure,tt0095250,fr,Le Grand Bleu,1988-05-10
Drama,tt0095250,fr,Le Grand Bleu,1988-05-10
Romance,tt0095250,fr,Le Grand Bleu,1988-05-10
Horror,tt0387564,en,Saw,2004-10-01
Mystery,tt0387564,en,Saw,2004-10-01
Crime,tt0387564,en,Saw,2004-10-01
Comedy,tt0101889,en,The Fisher King,1991-09-20
Drama,tt0101889,en,The Fisher King,1991-09-20
Action,tt0109303,en,Blown Away,1994-07-01
Crime,tt0373926,en,The Interpreter,2005-04-08
Thriller,tt0373926,en,The Interpreter,2005-04-08
Action,tt0181689,en,Minority Report,2002-06-20
Thriller,tt0181689,en,Minority Report,2002-06-20
Science Fiction,tt0181689,en,Minority Report,2002-06-20
Mystery,tt0181689,en,Minority Report,2002-06-20
Drama,tt0452624,en,The Good German,2006-12-08
War,tt0452624,en,The Good German,2006-12-08
Thriller,tt0452624,en,The Good German,2006-12-08
Mystery,tt0452624,en,The Good German,2006-12-08
Adventure,tt0098663,en,The Wizard,1989-12-15
Comedy,tt0098663,en,The Wizard,1989-12-15
Drama,tt0098663,en,The Wizard,1989-12-15
Family,tt0098663,en,The Wizard,1989-12-15
Crime,tt0119396,en,Jackie Brown,1997-12-25
Thriller,tt0119396,en,Jackie Brown,1997-12-25
Drama,tt0119396,en,Jackie Brown,1997-12-25
Science Fiction,tt0066921,en,A Clockwork Orange,1971-12-19
Drama,tt0066921,en,A Clockwork Orange,1971-12-19
Drama,tt0425210,en,Lucky Number Slevin,2006-02-24
Thriller,tt0425210,en,Lucky Number Slevin,2006-02-24
Crime,tt0425210,en,Lucky Number Slevin,2006-02-24
Mystery,tt0425210,en,Lucky Number Slevin,2006-02-24
Thriller,tt0401792,en,Sin City,2005-04-01
Action,tt0401792,en,Sin City,2005-04-01
Crime,tt0401792,en,Sin City,2005-04-01
Crime,tt0458481,en,Sin City: A Dame to Kill For,2014-08-20
Action,tt0458481,en,Sin City: A Dame to Kill For,2014-08-20
Thriller,tt0458481,en,Sin City: A Dame to Kill For,2014-08-20
Documentary,,de,Das Dorf der Freundschaft,2001-08-25
Drama,tt0248103,de,Die innere Sicherheit,2001-02-01
Drama,tt0091605,en,The Name of the Rose,1986-09-24
Thriller,tt0091605,en,The Name of the Rose,1986-09-24
Mystery,tt0091605,en,The Name of the Rose,1986-09-24
Science Fiction,tt0111280,en,Star Trek: Generations,1994-11-18
Action,tt0111280,en,Star Trek: Generations,1994-11-18
Adventure,tt0111280,en,Star Trek: Generations,1994-11-18
Thriller,tt0111280,en,Star Trek: Generations,1994-11-18
Comedy,tt0211915,fr,Le Fabuleux Destin d'Amélie Poulain,2001-04-25
Romance,tt0211915,fr,Le Fabuleux Destin d'Amélie Poulain,2001-04-25
Comedy,tt0023622,en,Trouble in Paradise,1932-10-30
Crime,tt0023622,en,Trouble in Paradise,1932-10-30
Romance,tt0023622,en,Trouble in Paradise,1932-10-30
Adventure,tt0099088,en,Back to the Future Part III,1990-05-25
Comedy,tt0099088,en,Back to the Future Part III,1990-05-25
Science Fiction,tt0099088,en,Back to the Future Part III,1990-05-25
Action,tt0112573,en,Braveheart,1995-05-24
Drama,tt0112573,en,Braveheart,1995-05-24
History,tt0112573,en,Braveheart,1995-05-24
War,tt0112573,en,Braveheart,1995-05-24
Comedy,tt0035446,en,To Be or Not to Be,1942-03-05
War,tt0035446,en,To Be or Not to Be,1942-03-05
Science Fiction,tt0117731,en,Star Trek: First Contact,1996-11-22
Action,tt0117731,en,Star Trek: First Contact,1996-11-22
Adventure,tt0117731,en,Star Trek: First Contact,1996-11-22
Thriller,tt0117731,en,Star Trek: First Contact,1996-11-22
Science Fiction,tt0120844,en,Star Trek: Insurrection,1998-12-11
Action,tt0120844,en,Star Trek: Insurrection,1998-12-11
Adventure,tt0120844,en,Star Trek: Insurrection,1998-12-11
Thriller,tt0120844,en,Star Trek: Insurrection,1998-12-11
Science Fiction,tt0253754,en,Star Trek: Nemesis,2002-12-13
Action,tt0253754,en,Star Trek: Nemesis,2002-12-13
Adventure,tt0253754,en,Star Trek: Nemesis,2002-12-13
Thriller,tt0253754,en,Star Trek: Nemesis,2002-12-13
Drama,tt0070379,en,Mean Streets,1973-10-14
Crime,tt0070379,en,Mean Streets,1973-10-14
Drama,tt0046268,fr,Le Salaire de la peur,1953-04-22
Thriller,tt0046268,fr,Le Salaire de la peur,1953-04-22
Adventure,tt0046268,fr,Le Salaire de la peur,1953-04-22
Drama,tt0395169,en,Hotel Rwanda,2004-03-04
History,tt0395169,en,Hotel Rwanda,2004-03-04
War,tt0395169,en,Hotel Rwanda,2004-03-04
Drama,tt0287624,en,Paradise Found,2003-01-01
Drama,tt0097165,en,Dead Poets Society,1989-06-02
Comedy,tt0276820,de,Berlin is in Germany,2001-11-01
Drama,tt0276820,de,Berlin is in Germany,2001-11-01
Comedy,tt0036613,en,Arsenic and Old Lace,1944-09-01
Crime,tt0036613,en,Arsenic and Old Lace,1944-09-01
Mystery,tt0053125,en,North by Northwest,1959-07-08
Thriller,tt0053125,en,North by Northwest,1959-07-08
Horror,tt0489270,en,Saw III,2006-10-27
Thriller,tt0489270,en,Saw III,2006-10-27
Crime,tt0489270,en,Saw III,2006-10-27
Horror,tt0432348,en,Saw II,2005-10-28
Romance,tt0071141,de,Angst essen Seele auf,1974-06-05
Drama,tt0071141,de,Angst essen Seele auf,1974-06-05
Adventure,tt0367882,en,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
Action,tt0367882,en,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21
Action,tt0088247,en,The Terminator,1984-10-26
Thriller,tt0088247,en,The Terminator,1984-10-26
Science Fiction,tt0088247,en,The Terminator,1984-10-26
Comedy,tt0441909,es,Volver,2006-03-17
Drama,tt0441909,es,Volver,2006-03-17
Romance,tt0441909,es,Volver,2006-03-17
Drama,tt0048028,en,East of Eden,1955-04-10
Romance,tt0048028,en,East of Eden,1955-04-10
Drama,tt0048545,en,Rebel Without a Cause,1955-10-29
Documentary,tt0017668,de,Berlin: Die Sinfonie der Großstadt,1927-09-23
History,tt0017668,de,Berlin: Die Sinfonie der Großstadt,1927-09-23
Mystery,tt0032976,en,Rebecca,1940-03-23
Drama,tt0032976,en,Rebecca,1940-03-23
Thriller,tt0032976,en,Rebecca,1940-03-23
Romance,tt0032976,en,Rebecca,1940-03-23
Drama,tt0075902,pl,Człowiek z marmuru,1977-02-25
Drama,tt0082222,pl,Człowiek z żelaza,1981-07-27
History,tt0082222,pl,Człowiek z żelaza,1981-07-27
Crime,tt0171804,en,Boys Don't Cry,1999-09-02
Drama,tt0171804,en,Boys Don't Cry,1999-09-02
Crime,tt0086066,en,The Outsiders,1983-03-25
Drama,tt0086066,en,The Outsiders,1983-03-25
Drama,tt0020697,de,Der blaue Engel,1930-04-01
Drama,tt0026138,en,The Bride of Frankenstein,1935-04-20
Horror,tt0026138,en,The Bride of Frankenstein,1935-04-20
Science Fiction,tt0026138,en,The Bride of Frankenstein,1935-04-20
Drama,tt0365737,en,Syriana,2005-11-23
